index,Unnamed: 0,age,num_children,gender,reported_height,reported_weight,reported_pants_size_waist,reported_pants_size_inseam,bra_size_chest,bra_size_cup,age_range,shoe_size_us,ankle_circum,spine_to_scye_len,spine_to_elbow_len,arm_len_spine_wrist,arm_len_shoulder_wrist,arm_len_shoulder_elbow,scye_circum,chest_circum,chest_circum_below_bust,chest_circum_scye,jean_inseam,hand_len,hip_circum,hip_height,neck_circum_base,bideltoid_breadth,height,thigh_circum_proximal,u_crotch,waist_circum_preferred,waist_height_preferred,weight,biacromial_breadth,bicristal_breadth,bust_to_bust,cervical_height,chest_height,interscye_dist,acromion_height,acromion_radial_len,ankle_height_inside,ankle_height_outside,axilla_height,elbow_height,knee_height,radial_stylion_len,sleeve_inseam,sleeve_outseam,acromion_radial_stylion_len,shoulder_len,dataset
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caesar
1,1.0,47.0,0.0,male,74.0,345.0,,34.0,,,46-55,12.0,12.48,8.27,23.11,35.71,27.44,14.84,22.2,54.84,,54.41,32.09,8.62,55.98,38.27,21.14,25.47,73.7,31.1,37.13,54.53,44.49,345.0,17.42,19.08,12.26,63.15,54.49,17.28,61.575,14.305,3.94,3.075,57.44,47.955,20.705,10.955,19.475,24.5,25.26,8.27,caesar
2,10.0,50.0,0.0,male,72.0,225.0,38.0,32.0,,,46-55,12.0,10.98,9.06,22.56,34.61,25.55,13.5,19.49,42.99,,43.31,31.77,8.82,43.27,36.42,19.13,20.43,71.1,25.04,28.07,38.74,42.05,216.0,17.42,13.84,10.46,61.65,52.36,18.45,58.935,12.955,2.87,2.755,54.37,46.145,19.215,10.73,18.505,23.31,23.685,9.06,caesar
3,100.0,28.0,0.0,male,73.0,192.0,36.0,33.0,,,26-35,12.0,10.94,8.5,22.24,34.25,25.75,13.74,19.17,42.99,,43.5,32.68,8.27,42.13,35.91,18.9,20.79,71.93,23.58,29.25,38.19,43.19,196.5,17.11,14.65,9.65,61.89,51.5,16.73,58.78,13.25,3.78,3.23,53.975,45.985,20.47,10.765,18.915,23.66,24.015,8.5,caesar
4,103.0,52.0,2.0,male,75.0,253.0,42.0,32.0,,,46-55,11.0,10.55,8.5,21.81,34.53,26.02,13.31,20.24,49.65,,48.9,32.87,8.03,43.74,37.56,18.94,23.15,73.19,24.65,22.6,41.73,41.85,249.5,17.48,16.59,10.51,63.54,53.54,17.65,61.065,13.36,3.505,3.15,55.71,48.82,20.75,10.815,18.635,23.595,24.175,8.51,caesar
5,1031.0,50.0,2.0,male,73.0,240.0,40.0,30.0,,,46-55,12.0,11.38,8.86,23.15,36.18,27.32,14.29,19.61,46.42,,46.14,32.24,8.58,44.25,35.83,20.31,21.06,72.09,25.83,27.87,40.98,42.05,238.5,18.07,15.93,11.32,63.07,52.13,17.62,60.2,13.93,3.78,3.23,55.275,46.575,21.025,11.19,19.68,24.65,25.12,8.86,caesar
6,1032.0,27.0,0.0,female,66.0,130.0,,,36.0,2.0,26-35,7.0,8.9,6.85,19.09,30.0,23.15,12.24,14.17,33.43,27.91,32.44,30.35,7.32,39.76,31.14,15.75,16.14,65.0,22.76,24.61,29.49,39.21,127.5,13.47,11.73,7.27,55.83,47.32,12.27,53.23,11.555,2.87,2.24,49.41,42.655,18.11,9.59,17.38,20.74,21.145,6.85,caesar
7,1035.0,41.0,0.0,female,66.0,165.0,,,38.0,4.0,36-45,8.5,9.72,7.95,21.5,32.13,24.17,13.54,16.5,38.66,31.26,35.75,29.96,8.23,41.18,30.59,16.14,17.09,65.55,24.61,28.35,30.79,40.51,159.0,15.28,12.52,7.48,56.54,46.54,14.62,54.645,12.43,3.19,2.795,49.57,42.285,18.23,10.13,17.54,21.71,22.56,7.96,caesar
8,1036.0,42.0,4.0,male,68.5,182.0,34.0,30.0,,,36-45,10.0,10.31,9.06,22.2,33.94,24.88,13.15,18.19,40.75,,41.18,29.84,7.64,39.53,32.05,18.43,19.65,68.7,23.43,25.16,34.33,38.9,184.0,16.93,12.99,8.78,58.35,48.74,16.11,55.315,12.595,3.23,2.875,50.51,43.345,18.62,9.955,17.69,22.455,22.55,9.06,caesar
9,1038.0,48.0,2.0,female,64.0,140.0,,,32.0,4.0,46-55,5.5,9.02,7.28,19.72,29.65,22.36,12.44,15.08,36.61,30.28,35.0,28.94,6.89,41.34,30.0,15.75,16.65,64.21,24.57,28.54,27.56,39.96,146.5,13.8,10.98,7.41,54.96,46.06,13.49,52.955,11.545,3.19,2.64,48.975,41.93,16.97,9.05,16.59,20.285,20.595,7.29,caesar
10,1039.0,42.0,2.0,female,67.0,150.0,,,36.0,2.0,36-45,9.5,10.0,7.2,20.16,31.18,23.98,12.95,15.63,36.38,31.42,36.34,31.61,7.64,41.57,32.48,17.17,17.76,66.73,24.41,29.69,27.32,43.03,155.5,15.18,11.42,7.21,57.32,49.61,14.16,55.51,11.98,3.505,2.91,51.77,44.04,18.94,10.12,17.84,21.64,22.1,7.2,caesar
11,104.0,32.0,2.0,female,65.0,130.0,,,36.0,2.0,26-35,8.5,9.06,7.28,18.78,29.29,22.01,11.5,15.28,35.12,29.96,33.94,30.04,7.09,39.49,31.61,15.55,17.09,64.37,21.93,27.8,28.31,40.71,128.5,14.81,,6.77,55.35,46.14,14.34,52.99,11.13,2.99,2.4,48.78,42.955,17.675,9.21,15.835,19.64,20.34,7.28,caesar
12,1040.0,54.0,3.0,male,68.75,145.0,32.0,31.0,,,46-55,8.5,9.72,8.74,20.63,31.69,22.95,11.89,16.14,36.73,,38.15,30.12,7.6,36.42,33.46,17.64,18.39,68.27,20.98,22.8,31.57,38.58,145.0,15.81,12.03,8.27,58.74,49.37,15.21,55.91,12.075,3.23,2.755,51.655,44.625,18.425,10.24,17.38,21.52,22.315,8.74,caesar
13,1041.0,24.0,0.0,male,70.0,165.0,32.0,34.0,,,17-25,10.5,10.75,8.27,21.93,34.41,26.14,13.66,16.54,38.15,,39.13,33.15,7.87,39.41,35.51,17.83,18.98,72.05,23.43,23.19,32.52,42.6,164.0,16.79,12.07,8.79,61.65,52.36,15.31,59.055,13.64,3.23,2.68,54.57,45.725,20.39,10.73,19.24,23.69,24.37,8.27,caesar
14,1043.0,38.0,0.0,female,56.0,100.0,,,34.0,1.0,36-45,,8.74,6.73,16.06,24.92,18.19,9.33,13.27,34.61,28.7,34.96,23.23,6.3,35.91,26.38,17.68,16.3,54.37,19.88,24.65,26.22,32.44,103.0,,,,,,,,,,,,,,,,,,6.73,caesar
15,1044.0,49.0,2.0,male,64.0,165.0,34.0,29.0,,,46-55,8.5,9.8,8.35,19.92,30.55,22.2,11.57,16.5,39.45,,39.53,27.72,7.28,38.46,30.79,17.48,18.46,63.82,22.76,25.47,35.2,36.26,162.0,15.46,12.95,9.16,55.28,46.54,15.81,52.835,11.445,3.385,2.875,48.62,41.965,17.13,9.345,15.965,20.365,20.79,8.35,caesar
16,1045.0,48.0,3.0,male,67.0,200.0,38.0,29.0,,,46-55,9.5,9.69,8.78,21.26,32.56,23.78,12.48,17.91,45.12,,44.53,28.58,7.8,43.78,32.52,20.28,21.57,66.26,26.1,25.75,41.3,38.46,210.5,16.7,15.41,10.34,57.72,47.95,16.46,54.845,12.25,3.94,3.03,50.47,42.99,18.66,9.98,17.26,22.155,22.23,8.78,caesar
